start_date,annualized_return_percent,max_drawdown_percent,sharpe_ratio,closed_trades
2020-04-10,9.26,6.87,1.314,133
2020-04-18,9.18,6.9,1.294,135
2020-06-03,9.28,6.96,1.267,134
2020-06-08,8.87,6.9,1.217,137
2020-09-01,7.84,6.87,1.148,134
2020-09-13,8.31,6.88,1.22,129
2020-10-14,8.63,6.88,1.259,125
2020-10-25,8.8,6.89,1.277,124
2020-11-12,8.82,6.88,1.274,123
2020-11-30,8.9,6.88,1.279,123
2021-02-07,8.91,6.88,1.281,119
2021-02-28,8.95,6.9,1.297,115
2021-04-20,8.24,6.9,1.217,113
2021-04-30,8.33,6.92,1.24,112
2021-05-13,8.64,6.89,1.28,109
2021-07-21,8.4,6.86,1.24,107
2021-10-12,6.93,6.86,1.084,98
2021-10-18,6.84,6.91,1.074,98
2021-11-07,6.5,6.87,1.028,94
2021-11-23,6.4,6.92,1.019,91
2022-02-18,7.16,6.89,1.111,88
2022-02-19,7.17,6.89,1.111,88
2022-04-03,7.53,6.88,1.151,86
2022-04-25,7.64,6.88,1.16,86
2022-04-26,7.64,6.88,1.16,86
2022-05-22,7.78,6.88,1.17,86
2022-05-25,7.79,6.88,1.171,86
2022-05-31,7.83,6.88,1.173,86
2022-09-28,8.53,6.88,1.223,86
2022-10-28,8.73,6.88,1.237,86
2022-12-28,9.16,6.88,1.266,86
2023-02-03,9.32,6.87,1.277,85
2023-02-10,9.5,6.87,1.298,84
2023-03-10,9.11,6.86,1.259,84
2023-03-30,9.68,6.89,1.28,84
2023-04-09,9.76,6.89,1.277,83
2023-08-05,8.04,6.87,1.136,73
2023-08-14,8.11,6.87,1.141,73
2023-08-25,8.19,6.87,1.147,73
2023-09-21,8.78,6.89,1.211,71
2023-10-30,9.13,6.89,1.276,67
2024-01-15,5.53,6.87,0.879,62
2024-01-16,5.53,6.87,0.879,62
2024-02-11,3.29,6.79,0.59,62
2024-03-26,4.22,7.09,0.734,55
2024-04-05,3.8,6.87,0.681,55
2024-04-15,2.65,6.86,0.492,55
2024-06-10,0.99,7.17,0.203,53
2024-06-22,0.76,7.38,0.162,52
2024-07-17,1.16,5.56,0.24,48
