date,portfolio_value,benchmark_value,marked_open_risk_percent,capital_invested_percent
2005-01-03,100000.0,100000.0,0.0,0.0
2005-01-04,100000.0,97844.95,0.0,0.0
2005-01-05,100000.0,97844.51,0.0,0.0
2005-01-06,100000.0,97187.93,0.0,0.0
2005-01-07,100000.0,98904.28,0.0,0.0
2005-01-10,99900.91,99057.44,0.5004,7.02
2005-01-11,99483.05,96667.21,0.0,0.0
2005-01-12,99483.05,97207.36,0.0,0.0
2005-01-13,99483.05,98344.39,0.0,0.0
2005-01-14,99483.05,99273.27,0.0,0.0
2005-01-18,99483.05,100442.9,0.0,0.0
2005-01-19,99483.05,98592.51,0.0,0.0
2005-01-20,99483.05,97995.33,0.0,0.0
2005-01-21,99483.05,97210.75,0.0,0.0
2005-01-24,99483.05,95519.18,0.0,0.0
2005-01-25,99483.05,96022.98,0.0,0.0
2005-01-26,99483.05,97791.98,0.0,0.0
2005-01-27,99483.05,99250.63,0.0,0.0
2005-01-28,99483.05,99780.46,0.0,0.0
2005-01-31,99483.05,101622.43,0.0,0.0
2005-02-01,99519.17,102004.62,0.4997,7.72
2005-02-02,99727.33,105248.36,0.4987,7.91
2005-02-03,99535.56,104666.86,1.0006,15.36
2005-02-04,100072.3,106053.46,0.9952,15.81
2005-02-07,99901.61,104933.09,1.497,43.87
2005-02-08,100206.29,106080.8,1.4925,44.05
2005-02-09,99502.18,103469.68,1.503,43.65
2005-02-10,99745.18,103578.08,1.4994,43.79
2005-02-11,100498.45,105498.88,1.4881,44.21
2005-02-14,100645.63,106735.68,1.486,44.29
2005-02-15,101197.03,108547.7,1.4779,44.59
2005-02-16,101358.31,109271.05,1.4755,44.68
2005-02-17,100827.61,107871.34,1.4833,44.39
2005-02-18,101622.76,109867.08,1.4717,44.83
2005-02-22,101164.99,108512.39,1.4783,44.58
2005-02-23,101203.19,109073.82,0.9841,17.14
2005-02-24,101499.23,109784.34,0.9813,17.38
2005-02-25,101632.44,110157.18,0.98,17.49
2005-02-28,101751.37,110388.73,0.9788,17.59
2005-03-01,101658.28,110218.8,0.9797,17.51
2005-03-02,101319.07,109150.78,0.983,17.23
2005-03-03,100739.17,107387.76,0.9887,16.76
2005-03-04,100881.51,108183.56,0.4943,8.48
2005-03-07,100956.26,108953.59,0.9929,35.93
2005-03-08,100415.02,105729.54,0.9982,35.58
2005-03-09,100044.04,103736.87,0.5035,27.21
2005-03-10,99893.69,103916.19,0.0,0.0
2005-03-11,99893.69,103168.75,0.0,0.0
2005-03-14,99893.69,103736.01,0.0,0.0
2005-03-15,99893.69,103738.49,0.0,0.0
2005-03-16,99893.69,102833.64,0.0,0.0
2005-03-17,99893.69,103747.33,0.0,0.0
2005-03-18,99893.69,103608.44,0.0,0.0
2005-03-21,99893.69,104825.21,0.0,0.0
2005-03-22,99893.69,103241.38,0.0,0.0
2005-03-23,99893.69,103633.93,0.0,0.0
2005-03-24,99893.69,103699.74,0.0,0.0
2005-03-28,99893.69,103758.96,0.0,0.0
2005-03-29,99893.69,102340.48,0.0,0.0
2005-03-30,99893.69,103709.53,0.0,0.0
2005-03-31,99893.69,102425.67,0.0,0.0
2005-04-01,99893.69,101415.77,0.0,0.0
2005-04-04,99893.69,102106.37,0.0,0.0
2005-04-05,99893.69,102731.54,0.0,0.0
2005-04-06,99893.69,103408.44,0.0,0.0
2005-04-07,99893.69,105327.6,0.0,0.0
2005-04-08,99893.69,104651.71,0.0,0.0
2005-04-11,99893.69,103161.59,0.0,0.0
2005-04-12,99893.69,104131.41,0.0,0.0
2005-04-13,99893.69,101646.58,0.0,0.0
2005-04-14,99893.69,98446.29,0.0,0.0
2005-04-15,99893.69,95270.3,0.0,0.0
2005-04-18,99893.69,95571.33,0.0,0.0
2005-04-19,99893.69,97837.86,0.0,0.0
2005-04-20,99893.69,96517.57,0.0,0.0
2005-04-21,99893.69,100010.91,0.0,0.0
2005-04-22,99893.69,99573.01,0.0,0.0
2005-04-25,99893.69,101840.14,0.0,0.0
2005-04-26,99893.69,100429.51,0.0,0.0
2005-04-27,99893.69,99750.12,0.0,0.0
2005-04-28,99893.69,99099.5,0.0,0.0
2005-04-29,99893.69,100051.66,0.0,0.0
2005-05-02,99893.69,100622.5,0.0,0.0
2005-05-03,99893.69,100890.85,0.0,0.0
2005-05-04,99893.69,102665.45,0.0,0.0
2005-05-05,99893.69,102600.21,0.0,0.0
2005-05-06,99893.69,103308.76,0.0,0.0
2005-05-09,99893.69,103513.01,0.0,0.0
2005-05-10,99893.69,102226.2,0.0,0.0
2005-05-11,99893.69,101933.81,0.0,0.0
2005-05-12,99893.69,100895.45,0.0,0.0
2005-05-13,99893.69,103664.77,0.0,0.0
2005-05-16,99999.43,104713.73,0.4995,7.63
2005-05-17,100083.45,105277.48,0.4991,7.7
2005-05-18,100140.44,106791.24,0.4988,7.76
2005-05-19,100139.96,108071.59,0.9961,26.68
2005-05-20,100250.96,108749.25,0.995,26.76
2005-05-23,100538.88,112234.79,0.9922,26.97
2005-05-24,100644.57,112587.68,1.4905,34.5
2005-05-25,100540.43,112719.94,1.4921,34.43
2005-05-26,101052.3,114111.21,1.4845,34.76
2005-05-27,100995.95,114559.05,1.4854,34.72
2005-05-31,100595.75,114615.32,1.4913,34.47
2005-06-01,100935.4,116553.91,1.4863,34.69
2005-06-02,101233.42,117424.79,1.4819,34.88
2005-06-03,100773.91,115088.98,1.4886,34.58
2005-06-06,100614.72,115698.24,1.491,34.48
2005-06-07,100205.96,114317.39,0.9955,27.25
2005-06-08,100113.95,112981.37,0.9964,27.18
2005-06-09,100546.58,115291.93,0.9921,27.5
2005-06-10,100406.09,113232.7,0.9935,27.39
2005-06-13,100652.48,113994.36,0.9911,27.57
2005-06-14,100190.01,112160.65,0.9956,27.24
2005-06-15,100202.57,112555.67,0.9955,27.25
2005-06-16,100293.87,113624.95,0.9946,27.31
2005-06-17,100269.51,114042.95,0.9948,27.3
2005-06-20,100398.89,114586.42,0.9936,27.39
2005-06-21,100487.99,115078.88,0.9927,27.45
2005-06-22,100494.89,115629.94,0.9926,27.46
2005-06-23,100352.03,115753.11,0.994,27.36
2005-06-24,99945.1,114668.98,0.9981,27.06
2005-06-27,99849.15,114683.32,0.5002,8.07
2005-06-28,99773.45,115096.44,1.0008,16.22
2005-06-29,99450.44,113281.04,1.004,15.95
2005-06-30,99467.67,113385.98,1.0038,15.96
2005-07-01,99426.17,113038.57,1.0043,15.93
2005-07-05,99671.37,115122.24,1.0018,16.13
2005-07-06,99778.37,114696.03,1.0007,16.22
2005-07-07,99825.8,115218.64,1.0002,16.26
2005-07-08,99949.25,116562.7,0.999,16.37
2005-07-11,99998.28,116820.28,0.9985,16.41
2005-07-12,99908.33,116762.52,0.9994,16.33
2005-07-13,100104.36,117638.31,1.4956,43.53
2005-07-14,99886.7,118558.92,1.4989,43.41
2005-07-15,99891.96,118897.26,1.9988,51.31
2005-07-18,99527.04,117965.82,2.0061,51.13
2005-07-19,100315.06,120706.96,1.4925,43.64
2005-07-20,100897.12,121743.07,1.9805,73.15
2005-07-21,100732.01,121214.83,1.9838,73.1
2005-07-22,100703.6,120050.76,1.9843,73.09
2005-07-25,100301.4,119277.53,1.9923,72.99
2005-07-26,100419.59,119746.33,1.9899,73.02
2005-07-27,100837.23,120741.46,1.9817,73.13
2005-07-28,101024.85,120686.97,1.978,73.18
2005-07-29,100206.2,118910.63,1.4962,65.3
2005-08-01,100258.39,119721.96,1.4954,65.32
2005-08-02,100831.2,121402.44,1.4869,65.51
2005-08-03,100894.8,121279.66,1.486,65.53
2005-08-04,100281.26,120390.04,1.495,65.32
2005-08-05,100006.02,120394.13,1.4992,65.23
2005-08-08,99670.85,119970.43,1.5042,65.11
