date,portfolio_value,benchmark_value,marked_open_risk_percent,capital_invested_percent
2020-04-10,100000.0,100000.0,0.0,0.0
2020-04-11,100000.0,96946.63,0.0,0.0
2020-04-12,100000.0,98798.75,0.0,0.0
2020-04-13,100000.0,96964.39,0.0,0.0
2020-04-14,100000.0,98617.0,0.0,0.0
2020-04-15,100110.83,97324.19,1.4962,18.24
2020-04-16,100521.78,99488.43,1.4901,18.57
2020-04-17,100467.65,99497.23,1.4909,18.53
2020-04-18,100467.65,99854.17,1.4909,18.53
2020-04-19,100467.65,98555.14,1.4909,18.53
2020-04-20,100107.21,95916.76,1.9953,24.71
2020-04-21,99104.93,93331.44,2.0155,23.95
2020-04-22,99998.08,98154.51,1.9975,24.63
2020-04-23,99988.55,96970.54,1.9977,24.62
2020-04-24,100400.48,98500.87,1.9895,24.93
2020-04-25,100400.48,98660.12,1.9895,24.93
2020-04-26,100400.48,98523.02,1.9895,24.93
2020-04-27,100558.51,98200.28,1.9864,25.05
2020-04-28,100025.44,98185.27,1.997,24.65
2020-04-29,101166.7,103240.43,1.9745,25.5
2020-04-30,101220.46,102158.51,1.9734,25.54
2020-05-01,100593.87,100568.81,1.9857,25.08
2020-05-02,100593.87,100342.43,1.9857,25.08
2020-05-03,100593.87,99705.58,1.9857,25.08
2020-05-04,100939.48,100597.15,1.9789,25.33
2020-05-05,101296.11,101285.64,1.9719,25.6
2020-05-06,101459.33,101328.91,1.9688,25.72
2020-05-07,101864.79,102554.81,1.9609,26.01
2020-05-08,102315.12,104019.36,1.9523,26.34
2020-05-09,102315.12,104012.43,1.9523,26.34
2020-05-10,102315.12,102829.66,1.9523,26.34
2020-05-11,102757.94,103804.69,1.9439,26.66
2020-05-12,102194.43,102210.13,1.9546,26.25
2020-05-13,101861.8,101230.27,1.961,26.01
2020-05-14,102198.58,102815.74,1.9545,26.25
2020-05-15,102592.35,104097.51,1.947,26.54
2020-05-16,102592.35,104787.41,1.947,26.54
2020-05-17,102592.35,105030.46,1.947,26.54
2020-05-18,103131.05,107844.75,1.9368,26.92
2020-05-19,103051.81,106997.35,1.9383,26.86
